2026-06-26 23:10:18 | INFO | [PERF] GET /api/notifications/count 200 | api=4348.5ms db=3818.6ms (connect=2735.6ms queries=1083.0ms x2)
2026-06-26 23:10:24 | INFO | [PERF] GET /api/notifications/count 200 | api=5726.5ms db=5067.0ms (connect=3606.9ms queries=1460.2ms x2)
2026-06-26 23:10:28 | INFO | [PERF] GET /api/notifications/count 200 | api=4112.2ms db=3583.0ms (connect=1840.3ms queries=1742.7ms x2)
2026-06-26 23:10:31 | INFO | [PERF] GET /api/notifications/count 200 | api=3286.0ms db=2797.2ms (connect=1702.1ms queries=1095.0ms x2)
2026-06-26 23:10:35 | INFO | [PERF] GET /api/notifications/count 200 | api=4121.3ms db=3124.1ms (connect=2051.5ms queries=1072.6ms x2)
2026-06-26 23:10:39 | INFO | [PERF] GET /api/notifications/count 200 | api=3738.1ms db=3210.1ms (connect=2077.2ms queries=1132.9ms x2)
2026-06-26 23:10:43 | INFO | [PERF] GET /api/notifications/count 200 | api=4358.4ms db=3357.4ms (connect=2213.9ms queries=1143.5ms x2)
2026-06-26 23:10:47 | INFO | [PERF] GET /api/notifications/count 200 | api=3733.9ms db=3128.5ms (connect=1900.2ms queries=1228.3ms x2)
2026-06-26 23:10:51 | INFO | [PERF] GET /api/notifications/count 200 | api=3956.2ms db=2886.7ms (connect=1734.7ms queries=1151.9ms x2)
2026-06-26 23:10:55 | INFO | [PERF] GET /api/notifications/count 200 | api=4269.0ms db=3738.7ms (connect=2170.8ms queries=1567.8ms x2)
2026-06-26 23:11:00 | INFO | [PERF] GET /api/notifications/count 200 | api=4357.4ms db=3713.4ms (connect=1677.4ms queries=2036.0ms x2)
2026-06-26 23:11:04 | INFO | [PERF] GET /api/notifications/count 200 | api=3823.3ms db=3278.8ms (connect=2217.0ms queries=1061.9ms x2)
2026-06-26 23:11:06 | INFO | [PERF] GET /department-roles/create 200 | api=20407.6ms db=17276.2ms (connect=2625.3ms queries=14651.0ms x33)
2026-06-26 23:11:20 | INFO | [PERF] GET /api/notifications/count 200 | api=16739.4ms db=2870.0ms (connect=1727.4ms queries=1142.5ms x2)
2026-06-26 23:11:21 | INFO | [PERF] GET /api/company-information/logo 404 | api=14323.2ms db=1515.2ms (connect=840.1ms queries=675.1ms x1)
2026-06-26 23:11:27 | INFO | [PERF] GET /api/notifications/count 200 | api=21041.7ms db=10714.6ms (connect=9118.2ms queries=1596.4ms x2)
2026-06-26 23:11:27 | INFO | [PERF] GET /api/notifications/recent 200 | api=21040.6ms db=15907.4ms (connect=14750.6ms queries=1156.9ms x2)
2026-06-26 23:11:31 | INFO | [PERF] GET /api/notifications/count 200 | api=3490.9ms db=2754.8ms (connect=1661.6ms queries=1093.2ms x2)
2026-06-26 23:11:34 | INFO | [PERF] GET /api/company-branches 200 | api=27148.8ms db=25098.2ms (connect=21494.0ms queries=3604.2ms x9)
2026-06-26 23:11:36 | INFO | [PERF] GET /api/notifications/count 200 | api=4617.1ms db=3537.0ms (connect=1982.4ms queries=1554.6ms x2)
2026-06-26 23:11:38 | INFO | [PERF] GET /api/roles 200 | api=31386.3ms db=19393.6ms (connect=5149.2ms queries=14244.4ms x26)
